Entry,author1
11050,E.Wantuch
11051,M.Burgy+
11052,R.K.Adair
11053,H.L.Poss+
11054,L.Kaplan+
11055,G.Guernsey+
11056,J.H.Coon+
11057,L.S.Goodman
11058,M.E.Battat+
11059,E.M.Hafner+
11060,N.Nereson+
11061,R.K.Adair+
11062,M.E.Remley+
11063,R.L.Zimmerman+
11064,B.Hammermesh+
11065,L.E.Darlington+
11066,J.C.Allred+
11067,S.Harris+
11068,R.B.Day+
11069,W.Selove+
11070,J.D.Seagrave
11071,G.M.Frye jr
11072,O.Chamberlain+
11073,R.E.Fields+
11074,C.F.Cook+
11075,T.R.Donoghue+
11076,J.B.Weddell+
11077,F.Scott+
11078,A.J.Hartzler+
11079,J.R.Smith
11080,C.L.Storrs+
11081,P.Hillman+
11082,C.H.Johnson+
11083,R.H.Stahl+
11084,J.D.Seagrave
11085,H.S.Sommers jr+
11086,J.D.Seagrave+
11087,T.Coor+
11088,V.Culler+
11089,J.De pangher
11090,A.Galonsky+
11091,R.G.Thomas+
11092,H.B.Willard+
11093,R.L.Becker+
11094,F.L.Ribe
11095,J.D.Seagrave+
11096,C.Y.Chih+
11097,V.J.Ashby+
11098,F.Gabbard+
11099,R.B.Day+
11100,J.H.Gibbons+
11101,W.L.Imhof+
11102,R.W.Stooksberry+
11103,S.J.Bame jr+
11104,T.W.Bonner+
11105,R.B.Murray+
11106,F.J.Vaughn+
11107,J.D.Seagrave+
11108,J.M.Peterson+
11109,R.K.Hobbie+
11110,A.R.Sayres+
11111,H.C.Catron+
